id_foodtruck,nom_FT,TEL,email,site,profil,image,mdp_FT
 ,"Okayish Burger Smash","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"Spoilt Sushi","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"Overprocessed Meat","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"Pizza3000","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"OVERPRICED BISTRO","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"UNETHICAL FAST FOOD","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"DADINO PIZZA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"SERGIOS DELI","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"RODIZZIO","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"WOODKID","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"DANGER","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"NUJABES","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"JOJI","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"TATSURO YAMASHITA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"MIKI MATSUBARA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"SOLANN","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"NAIKA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"BERSHY","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"YAME","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"AURORA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"DUA LIPA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"CRAZY HOW MANY MUSICIANS THERE IS IN THIS LIST","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"MAKA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"LUCKY","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"BODYY","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"GRAVITI","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"EXERCICE","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"DJOKO","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"MISUTAA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"KURSY","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"SHOX","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"KENNYS","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"SCREAM","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"RPK","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"ZYWOO","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"APEX","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"NBK","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"EXISTENZ","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"CRAZY HOW MANY CS PRO PLAYER THERE IS IN THIS LIST","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"BRENNAN LEE MULLIGAN","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"LOU WILSON","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"ZAC OYAMA","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"EMILY AXFORD","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"ALLY BEARDSLEY","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"BRIAN MURPHY and SIOBHAN THOMPSON","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"SAM REICH","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"VIC MICHAELIS","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"JOSH RUBEN","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
 ,"JESS ROSS","0404040404","","https://www.youtube.com/watch?v=XfELJU1mRMg","","",1234AsItShouldBe
